variable,coefficient,std_error,t_stat,p_value,outcome
neg_earnings,-0.0036573667691593096,0.001680149165622959,-2.1768107522782034,0.029494690473225213,Daily return
neg_growth,0.002657410035761963,0.0015555689318526532,1.7083203330610608,0.08757692048717651,Daily return
neg_regulation,-0.0011979554076456864,0.0010444773640409931,-1.1469424315821455,0.25140541439455466,Daily return
neg_competition,-0.00228665017186694,0.0015881421044868624,-1.4398271825969688,0.14991629864030623,Daily return
neg_macro,-0.0017272557225564158,0.0016984258546068136,-1.0169744636608091,0.3091655775952321,Daily return
neg_earnings,-0.000700189140544103,0.0011439870613818254,-0.6120603669226314,0.5404978183152902,Next-day return
neg_growth,-0.003137531036499421,0.0011675955913031126,-2.6871727333243287,0.007205967762559476,Next-day return
neg_regulation,0.0011169247262217672,0.0009396873386565164,1.1886131485166647,0.23459193140462586,Next-day return
neg_competition,-0.001097070237165405,0.0014529666563228582,-0.7550553430743212,0.4502157763460841,Next-day return
neg_macro,0.0012313325676861916,0.0018088577722630006,0.6807238172991972,0.4960462628711628,Next-day return
neg_earnings,0.028445803514060897,0.021319725804327415,1.3342480937670902,0.18212256255365789,Log trading volume
neg_growth,-0.0099418719403922,0.02245549398090785,-0.442736728430245,0.6579561730588952,Log trading volume
neg_regulation,-0.023380340277758815,0.018513280994269892,-1.2628955550880119,0.20662671757070827,Log trading volume
neg_competition,0.03734122177882948,0.02574629587458079,1.4503531677229078,0.14696005968241446,Log trading volume
neg_macro,-0.021447995736125602,0.0261802040260177,-0.8192447894909732,0.41264676537111866,Log trading volume
