outcome,category,coefficient_percent,p_value
Daily return,Earnings,-0.36573667691593,0.0294946904732252
Daily return,Growth,0.26574100357619,0.0875769204871765
Daily return,Regulation,-0.11979554076455999,0.2514054143945546
Daily return,Competition,-0.22866501718669,0.1499162986403062
Daily return,Macro,-0.17272557225564,0.3091655775952321
Next-day return,Earnings,-0.07001891405441,0.5404978183152902
Next-day return,Growth,-0.31375310364994,0.0072059677625594
Next-day return,Regulation,0.11169247262217,0.2345919314046258
Next-day return,Competition,-0.10970702371654001,0.4502157763460841
Next-day return,Macro,0.12313325676861,0.4960462628711628
